Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage
Alquiler de Dúplex en caballero,1700.0,"Les Corts, Barcelona",Profesional,3.0,110.0,exterior,3.0,1.0,
Alquiler de Piso en Les Corts,3450.0,"Les Corts, Barcelona",Profesional,3.0,120.0,exterior,7.0,0.0,
Alquiler de Piso en avenida de Sant Ramon Nonat,1800.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,70.0,exterior,1.0,0.0,
"Alquiler de Estudio en avenida d'Esplugues, 102",1781.0,"Pedralbes, Barcelona",Particular,,20.0,exterior,4.0,1.0,Garage included
Alquiler de Chalet adosado en paseo dels Til·lers,7500.0,"Pedralbes, Barcelona",Profesional,5.0,360.0,,,,Garage included
Alquiler de Piso en Pedralbes,3850.0,"Les Corts, Barcelona",Profesional,4.0,177.0,exterior,4.0,1.0,Garage included
Alquiler de Piso en Les Corts,3300.0,"Les Corts, Barcelona",Profesional,3.0,150.0,exterior,2.0,1.0,Garage included
Alquiler de Dúplex en toquio,8000.0,"Pedralbes, Barcelona",Profesional,7.0,529.0,exterior,5.0,1.0,Garage included
Alquiler de Ático en Pedralbes,1980.0,"Les Corts, Barcelona",Profesional,2.0,110.0,exterior,1.0,0.0,Garage included
Alquiler de Estudio en calle del Torrent de les Roses,1200.0,"Pedralbes, Barcelona",Profesional,,45.0,exterior,Bajo,0.0,
"Alquiler de Estudio en calle de Loreto, 22",1450.0,"Les Corts, Barcelona",Particular,,85.0,exterior,3.0,1.0,
"Alquiler de Estudio en avenida d'Esplugues, 102",1900.0,"Pedralbes, Barcelona",Particular,,20.0,interior,2.0,1.0,Garage included
"Alquiler de Ático en calle d'Aiguallonga, 6",1980.0,"Pedralbes, Barcelona",Particular,2.0,110.0,interior,,0.0,Garage optional
Alquiler de Piso en La Maternitat i Sant Ramon,2600.0,"Les Corts, Barcelona",Profesional,3.0,190.0,exterior,1.0,1.0,
Alquiler de Piso en La Maternitat i Sant Ramon,2350.0,"Les Corts, Barcelona",Profesional,3.0,100.0,exterior,5.0,1.0,Garage included
Alquiler de Piso en calle d'Arístides Maillol,2000.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,4.0,120.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Joan Gamper,3500.0,"Les Corts, Barcelona",Profesional,1.0,56.0,exterior,2.0,1.0,Garage included
"Alquiler de Estudio en avenida d'Esplugues, 102",2000.0,"Pedralbes, Barcelona",Particular,,27.0,interior,4.0,1.0,
Alquiler de Ático en travesía de les Corts,1790.0,"Les Corts, Barcelona",Profesional,3.0,109.0,exterior,8.0,1.0,
"Alquiler de Piso en calle de Serra i Hunter, 13",1875.0,"Pedralbes, Barcelona",Particular,2.0,55.0,exterior,Bajo,0.0,
Alquiler de Ático en Pedralbes,17000.0,"Les Corts, Barcelona",Profesional,4.0,800.0,exterior,6.0,1.0,
"Alquiler de Piso en calle de Galileu, 338",1600.0,"Les Corts, Barcelona",Particular,3.0,86.0,exterior,3.0,1.0,
